Element,Atomic Number,Mass Number,Neutron Count,Proton Count,Binding Energy (MeV),Half-Life (seconds),Decay Mode,Stability Index,Predicted Existence Probability (%)
Oxygen,8,19,11,8,6.837,92570.222755,Beta,0.76,74.67
Hydrogen,1,3,2,1,9.497,784319.857253,Gamma,0.607,83.35
Helium,2,7,5,2,8.414,inf,Stable,0.785,58.26
Neon,10,36,26,10,4.357,inf,Stable,0.883,62.69
Carbon,6,14,8,6,1.891,423922.717104,Beta,0.323,57.72
Fluorine,9,27,18,9,9.887,712245.507991,Alpha,0.446,58.41
Hydrogen,1,3,2,1,7.372,110722.345064,Beta,0.621,57.35
Fluorine,9,23,14,9,2.091,952485.657747,Gamma,0.303,89.92
Carbon,6,23,17,6,3.507,720204.581408,Spontaneous Fission,0.987,67.6
Boron,5,11,6,5,1.954,377465.121011,Spontaneous Fission,0.089,65.46
Oxygen,8,17,9,8,8.281,inf,Stable,0.55,62.42
Helium,2,7,5,2,6.239,inf,Stable,0.215,57.04
Helium,2,7,5,2,6.702,359230.044742,Alpha,0.553,56.52
Nitrogen,7,14,7,7,3.884,823679.160489,Alpha,0.874,99.9
Fluorine,9,28,19,9,8.184,781333.462641,Gamma,0.802,75.31
Lithium,3,10,7,3,6.049,659712.747921,Spontaneous Fission,0.309,57.34
Hydrogen,1,2,1,1,8.062,895081.027422,Spontaneous Fission,0.845,79.77
Beryllium,4,12,8,4,4.841,311155.323509,Spontaneous Fission,0.292,82.78
Hydrogen,1,3,2,1,5.12,951794.116426,Beta,0.688,83.5
Fluorine,9,35,26,9,1.342,28548.007879,Gamma,0.641,70.44
Nitrogen,7,21,14,7,3.874,inf,Stable,0.654,84.67
Nitrogen,7,25,18,7,3.156,158623.259341,Beta,0.666,77.94
Hydrogen,1,2,1,1,8.64,158441.842604,Beta,0.97,75.98
Beryllium,4,11,7,4,2.667,459893.860949,Spontaneous Fission,0.255,74.71
Nitrogen,7,25,18,7,1.325,625345.495335,Beta,0.859,71.4
Fluorine,9,30,21,9,1.343,12276.652595,Gamma,0.006,86.36
Hydrogen,1,2,1,1,1.792,inf,Stable,0.021,84.46
Helium,2,7,5,2,7.283,534055.512014,Beta,0.716,84.46
Hydrogen,1,2,1,1,6.846,762186.102437,Alpha,0.046,68.21
Lithium,3,12,9,3,2.226,inf,Stable,0.984,62.32
Neon,10,32,22,10,6.707,inf,Stable,0.214,86.92
Boron,5,17,12,5,8.496,849694.226437,Spontaneous Fission,0.642,68.74
Lithium,3,8,5,3,2.12,209366.764442,Alpha,0.739,57.52
Lithium,3,6,3,3,2.472,inf,Stable,0.058,57.42
Helium,2,6,4,2,9.222,449867.805777,Spontaneous Fission,0.538,70.85
Oxygen,8,22,14,8,1.396,140612.128324,Beta,0.187,94.53
Nitrogen,7,26,19,7,3.983,inf,Stable,0.16,60.74
Fluorine,9,36,27,9,3.793,27167.755032,Alpha,0.065,92.58
Neon,10,28,18,10,4.334,200808.594792,Beta,0.046,55.33
Nitrogen,7,22,15,7,3.503,616193.889248,Gamma,0.94,55.26
Boron,5,18,13,5,8.347,39783.484953,Gamma,0.811,89.95
Oxygen,8,32,24,8,1.18,978682.364344,Spontaneous Fission,0.083,90.86
Lithium,3,8,5,3,2.609,265436.190261,Beta,0.589,73.53
Carbon,6,23,17,6,8.608,844781.717605,Alpha,0.055,79.72
Hydrogen,1,3,2,1,4.669,561754.56046,Gamma,0.445,89.32
Oxygen,8,18,10,8,6.942,914893.868871,Beta,0.542,97.71
Beryllium,4,10,6,4,6.706,559318.95527,Beta,0.369,61.79
Lithium,3,8,5,3,1.386,425533.789941,Alpha,0.749,97.11
Hydrogen,1,3,2,1,1.118,46023.651405,Alpha,0.311,78.78
Hydrogen,1,3,2,1,8.602,978670.833085,Spontaneous Fission,0.274,95.39
Beryllium,4,15,11,4,6.043,865064.485967,Spontaneous Fission,0.905,68.52
Beryllium,4,10,6,4,8.338,214759.545925,Alpha,0.875,98.67
Helium,2,4,2,2,8.515,267597.50574,Alpha,0.76,95.69
Lithium,3,8,5,3,6.681,299274.831058,Alpha,0.645,80.79
Boron,5,12,7,5,1.688,inf,Stable,0.267,90.97
Oxygen,8,30,22,8,8.062,70336.971578,Alpha,0.897,64.24
Hydrogen,1,2,1,1,5.514,inf,Stable,0.085,82.91
Nitrogen,7,18,11,7,1.359,91226.855228,Alpha,0.501,53.97
Fluorine,9,31,22,9,1.401,inf,Stable,0.28,82.46
Neon,10,20,10,10,6.012,345603.885714,Gamma,0.55,82.18
Beryllium,4,9,5,4,7.772,173134.558271,Gamma,0.861,88.43
Nitrogen,7,25,18,7,9.267,inf,Stable,0.02,69.05
Oxygen,8,20,12,8,3.801,769968.363623,Gamma,0.676,77.88
Fluorine,9,33,24,9,1.637,190496.723936,Alpha,0.317,80.21
Neon,10,35,25,10,3.233,893175.625274,Spontaneous Fission,0.627,84.73
Hydrogen,1,3,2,1,9.994,inf,Stable,0.842,66.6
Helium,2,8,6,2,7.237,261696.04724,Beta,0.773,56.24
Hydrogen,1,4,3,1,5.724,639910.83549,Spontaneous Fission,0.819,57.74
Lithium,3,11,8,3,9.116,945596.513967,Beta,0.089,53.66
Helium,2,7,5,2,5.589,inf,Stable,0.138,82.54
Beryllium,4,8,4,4,8.266,155062.202339,Beta,0.51,94.93
Oxygen,8,30,22,8,5.156,12102.282412,Beta,0.806,94.88
Hydrogen,1,2,1,1,6.942,inf,Stable,0.02,73.37
Oxygen,8,29,21,8,1.53,603187.842708,Spontaneous Fission,0.148,52.66
Carbon,6,23,17,6,1.052,inf,Stable,0.527,86.1
Nitrogen,7,27,20,7,2.482,166116.486894,Spontaneous Fission,0.385,95.84
Helium,2,7,5,2,8.217,59728.526808,Alpha,0.123,55.05
Lithium,3,11,8,3,8.515,424687.975497,Beta,0.768,99.15
